customer_row,dest_in_date,plate,trip_amount_customer_2dp,downtime50_customer_2dp,downtime100_customer_2dp,blank50_customer_2dp,return_customer_2dp,candidate_system_row,unmatched_reason,confidence
78,2026-04-20,71-9629,6645.9,0.0,0.0,0.0,0.0,78,same_date_plate_ordinal_but_amount_mismatch,medium
79,2026-04-20,71-9629,6645.9,0.0,0.0,0.0,0.0,79,same_date_plate_ordinal_but_amount_mismatch,medium
80,2026-04-21,71-6802,6546.2,0.0,6546.2,0.0,0.0,80,same_date_plate_ordinal_but_amount_mismatch,medium
81,2026-04-21,71-8681,6546.2,0.0,6546.2,0.0,0.0,81,same_date_plate_ordinal_but_amount_mismatch,medium
82,2026-04-21,71-9629,6546.2,0.0,6546.2,0.0,0.0,82,same_date_plate_ordinal_but_amount_mismatch,medium
83,2026-04-21,72-1217,6546.2,3273.1,0.0,0.0,0.0,83,same_date_plate_ordinal_but_amount_mismatch,medium
84,2026-04-22,71-5042,6546.2,3273.1,0.0,0.0,0.0,84,same_date_plate_ordinal_but_amount_mismatch,medium
85,2026-04-22,71-5042,6546.2,0.0,0.0,0.0,0.0,85,same_date_plate_ordinal_but_amount_mismatch,medium
86,2026-04-22,71-6802,6546.2,3273.1,0.0,0.0,0.0,86,same_date_plate_ordinal_but_amount_mismatch,medium
87,2026-04-22,71-9629,6546.2,3273.1,0.0,0.0,0.0,87,same_date_plate_ordinal_but_amount_mismatch,medium
88,2026-04-22,72-1217,6546.2,3273.1,0.0,0.0,3273.1,88,same_date_plate_ordinal_but_amount_mismatch,medium
89,2026-04-23,71-8681,6546.2,3273.1,0.0,0.0,0.0,89,same_date_plate_ordinal_but_amount_mismatch,medium
90,2026-04-25,71-5042,6500.0,0.0,0.0,0.0,0.0,90,same_date_plate_ordinal_but_amount_mismatch,medium
