รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน มกราคม 2569,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-01-05 00:00:00,2601-001,เสาไห้,33275,0,1663.75,31611.25,2026-01-06 00:00:00,ค่าเช่า 1-31/1/69,2601-001
2025-12-31 00:00:00,2512-014,ยูเซ็น,40287.83,0,402.8783,39884.951700000005,2026-01-21 00:00:00,งานเดือน 12,2601-050
2025-11-07 00:00:00,2511-009,NIPPON 6W,22000,0,220,21780,2026-01-20 00:00:00,,2601-053
2026-01-06 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,2026-01-06 00:00:00
,,รวมเป็นเงิน,98362.83,0,2286.6283,96076.2017,,,
,,,,,,,,,
(HOMEPRO) CREDIT 35 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-11-20 00:00:00,2511-002,Homepro W1,160652,0,1606.52,159045.48,,,2601-002
2025-11-30 00:00:00,2511-003,Homepro W2,135910,0,1359.1000000000001,134550.9,2026-01-05 00:00:00,งานเดือน 11,2601-002
2025-11-30 00:00:00,2511-004,Homepro BH,333478,0,3334.78,330143.22,,,2601-002
,,รวมเป็นเงิน,630040,0,6300.4,623739.6,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-01-06 00:00:00,2512-006,DHL นีเวียร์,420609.2,0,4206.092000000001,416403.108,,26/11 - 25/12,2602-007
2026-01-06 00:00:00,2512-007,DHL เฮนเคล+ชบา,15146.94,0,151.4694,14995.4706,,1-31/12,2602-008
2026-01-12 00:00:00,2512-016,DHL บิ๊กซี BPD,124594.21,0,1245.9421,123348.2679,,1-31/12,2603-003
2026-01-12 00:00:00,2512-015,DHL บิ๊กซี XD,1180026.94,0,11800.2694,1168226.6705999998,2026-01-31 00:00:00,1-31/12,2603-004
2026-01-12 00:00:00,2512-017,DHL บิ๊กซี TB,201588.02,0,2015.8801999999998,199572.13979999998,,1-31/12,2603-005
2026-01-12 00:00:00,2512-018,DHL บิ๊กซี SRH,57867.92,,578.6792,57289.2408,,,2603-006
2026-01-07 00:00:00,2512-013,DHL โจตัน,42500,0,425,42075,,1-31/12,2602-013
2026-01-05 00:00:00,2512-011,DHL TOPS,52746.56,0,527.4656,52219.094399999994,,1-31/12,2602-011
,,ค่าปรับคืนเอกสารนีเวียช้า 25/12/25 นิวัติ,-400,0,0,-400,,,
,,ค่าปรับคืนเอกสารนีเวียช้า 5/1/26 วัชร์นล,-600,0,0,-600,,,
,ค่าเคลม 2/7,"ค่าเคลมของเสียหาย 23/11/24 สมนึก (700,000)",-100000,0,0,-100000,,,
,ค่าผ่อนรถ 31/35,,-80000,0,0,-80000,,,
,,รวมเป็นเงิน,1914079.79,0,20950.797899999998,1893128.9921,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-01-09 00:00:00,DS2512-001,DHL OATSIDE,46800,0,468,46332,,1-31/12,2602-014
,,DHL OATSIDE คชจ,13980.97,0,139.8097,13841.1603,,,
2025-12-25 00:00:00,DL2512-001,DHL CONTINENTAL,29200,0,292,28908,,1-31/12,2602-010
2026-01-06 00:00:00,2512-012,DHL CHEVROLET,28200,0,282,27918,2026-01-31 00:00:00,1-31/12,2602-012
,,รวมเป็นเงิน,118180.97,0,1181.8097,116999.1603,,,
,,,,,,,,,
(WONDOR) CREDIT 30 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-01-05 00:00:00,2512-008,WONDOR,25000,0,250,24750,,1-31/12,
2026-01-05 00:00:00,2512-009,WONDOR,5000,0,50,4950,,1-31/12,
2026-01-05 00:00:00,2512-010,WONDOR,7000,0,70,6930,,1-31/12,
,,รวมเป็นเงิน,37000,0,370,36630,,,
