รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน เมษายน 2568,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-04-02 00:00:00,2504-001,เสาไห้,33275,0,1663.75,31611.25,2025-04-06 00:00:00,ค่าเช่า 1-31/4/68,2504-001
2025-03-31 00:00:00,2503-005,ยูเซ็น,73944.29,0,739.4428999999999,73204.8471,2025-04-21 00:00:00,งานเดือน 3//กสิกร X624228,2504-011
2025-03-31 00:00:00,2503-008,ประพาส,8700,0,87,8613,,,2504-012
2025-04-25 00:00:00,,เฮียเกรียง,5600,0,0,5600,,,
2025-04-26 00:00:00,,เฮียเกรียง,2800,0,0,2800,,,
,,รวมเป็นเงิน,124319.29,0,2490.1929,121829.0971,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-02-22 00:00:00,2502-002,Homepro W1,234512,0,2345.12,232166.88,,,2504-002
2025-02-28 00:00:00,2502-003,Homepro W2,215977,0,2159.77,213817.23,2025-04-05 00:00:00,งานเดือน 2,2504-002
2025-02-28 00:00:00,2502-004,Homepro BH,232528,0,2325.28,230202.72,,,2504-002
2025-02-28 00:00:00,2502-010,Homepro W2 EVENT,4000,0,40,3960,,,2504-002
2025-02-28 00:00:00,2502-011,Homepro W2 ย้ายสาขา,1206,0,12.06,1193.94,,,2504-002
,,ค่าเคลมของเสียหาย 27/2/25 วิทยา,-458.05,0,0,-458.05,,,
,,ค่าเคลมของเสียหาย 27/2/25 พิทยา,-3942.09,0,0,-3942.09,,,
,,ค่าเคลมของเสียหาย 27/2/25 พิทยา,-387.45,0,0,-387.45,,,
,,ค่าเคลมของเสียหาย 27/2/25 ทองสุข,-266.88,0,0,-266.88,,,
,,รวมเป็นเงิน,683168.53,0,6882.2300000000005,676286.2999999999,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-04-01 00:00:00,2503-006,DHL นีเวียร์,344626,0,3446.26,341179.74,,26/2 - 25/3,2505-008
2025-04-02 00:00:00,2503-007,DHL เฮนเคล+ชบา,35794.5,0,357.945,35436.555,,1-31/3,2505-009
2025-04-09 00:00:00,2503-010,DHL บิ๊กซี WN,153895.24,0,1538.9524,152356.28759999998,,1-31/3,2506-003
2025-04-09 00:00:00,2503-011,DHL บิ๊กซี XD,1426940.55,0,14269.4055,1412671.1445,2025-04-30 00:00:00,1-31/3,2506-004
2025-04-09 00:00:00,2503-012,DHL บิ๊กซี TB,203043,0,2030.43,201012.57,,1-31/3,2506-005
,ค่าผ่อนรถ 22/35,,-96000,0,0,-96000,,,
,,รวมเป็นเงิน,2068299.29,0,21642.9929,2046656.2970999996,,,
,,,,,,,,,
,,,,,,,,,
(TRANSPO) CREDIT 30 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-02-26 00:00:00,TLIV2502-001,TRANSPO ค่าขนส่ง,9000,0,90,8910,,,2504-008
2025-02-26 00:00:00,TLIV2502-002,TRANSPO ค่าขนส่ง,8000,0,80,7920,,,2504-010
,,รวมเป็นเงิน,17000,0,170,16830,,,
,,,,,,,,,
,,,,,,,,,
(พร้อมมิตร) ,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2025-04-09 00:00:00,PMIV2504-001,พร้อมมิตร ค่าขนส่ง,25500,0,255,25245,,,2504-009
,PMIV2504-001AD,พร้อมมิตร สำรองจ่าย,6500,0,65,6435,,,2504-009-1
,,รวมเป็นเงิน,32000,0,320,31680,,,
