รายการวางบิล (รอเก็บเงินลูกค้า),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
งวดประจำเดือน มีนาคม 2569,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-03-02 00:00:00,2603-001,เสาไห้,36602.5,0,1830.125,34772.375,2026-03-06 00:00:00,ค่าเช่า 1-31/3/69,2603-001
2026-02-28 00:00:00,2602-007,ยูเซ็น,33160.66,0,331.6066,32829.053400000004,2026-03-20 00:00:00,งานเดือน 2,2603-013
2026-01-26 00:00:00,2601-011,NIPPON 6W,27500,0,275,27225,2026-03-31 00:00:00,,
2026-03-10 00:00:00,,เฮียเกรียง,14000,0,0,14000,,,2026-03-10 00:00:00
,,รวมเป็นเงิน,111263.16,0,2436.7316,108826.4284,,,
,,,,,,,,,
(HOMEPRO) CREDIT 35 DAYS,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-01-20 00:00:00,2601-002,Homepro W1,85640,0,856.4,84783.6,,,2603-002
2026-01-31 00:00:00,2601-003,Homepro W2,128669,0,1286.69,127382.31,2026-03-11 00:00:00,งานเดือน 1,2603-002
2026-01-31 00:00:00,2601-004,Homepro BH,80099,0,800.99,79298.01,พุธที่2ของเดือน,,2603-002
,,ค่าบัญชีรายปี,-1872.5,0,0,-1872.5,,,
,,รวมเป็นเงิน,292535.5,0,2944.08,289591.42,,,
,,,,,,,,,
,,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-03-04 00:00:00,2602-005,DHL นีเวียร์,489478,0,4894.78,484583.22,,26/1 - 25/2,2604-009
2026-03-04 00:00:00,2602-011,DHL เฮนเคล,750,0,7.5,742.5,,1-28/2,2604-008
2026-03-09 00:00:00,2602-014,DHL บิ๊กซี BPD,401732.68,0,4017.3268,397715.3532,,1-28/2,2605-003
2026-03-09 00:00:00,2602-013,DHL บิ๊กซี XD,785566.73,0,7855.6673,777711.0627,2026-03-31 00:00:00,1-28/2,2605-004
2026-03-09 00:00:00,2603-015,DHL บิ๊กซี TB,67459.3,0,674.5930000000001,66784.70700000001,,1-28/2,2605-005
,,ค่าปรับคืนเอกสารนีเวียช้า 25/12/25 นิวัติ,-400,0,0,-400,,,
,,ค่าปรับคืนเอกสารนีเวียช้า 5/1/26 วัชร์นล,-600,0,0,-600,,,
,ค่าเคลม 4/7,"ค่าเคลมของเสียหาย 23/11/24 สมนึก (700,000)",-100000,,0,-100000,,,
,ค่าผ่อนรถ 33/35,,-64000,0,0,-64000,,,
,,รวมเป็นเงิน,1579986.71,0,17449.8671,1562536.8429,,,
,,,,,,,,,
(DHL),,,,,,,,,
วันที่,เลขที่ INV,ชื่อบริษัท,จำนวนเงิน,VAT,หัก ณ.ที่จ่าย,เงินหน้าเช็ค,DUE รับเช็ค,หมายเหตุ,เลขที่ RC
2026-02-27 00:00:00,DS2602-001,DHL OATSIDE,26000,0,260,25740,,1-28/2 // ใบเสร็จให้ออกตามเงินออกจริง เช่น โอนเดือน 3 ก็ออกเดือน3,
,,DHL OATSIDE คชจ,9406.97,0,94.0697,9312.9003,,,
2026-02-27 00:00:00,DL2602-001,DHL CONTINENTAL,112800,0,1128,111672,,1-28/2,2604-006
2026-03-04 00:00:00,2602-006,DHL CHEVROLET,30703.95,0,307.03950000000003,30396.9105,2026-03-31 00:00:00,1-28/2,2604-007
,,รวมเป็นเงิน,178910.92,0,1789.1092,177121.8108,,,
