Activity_Date,Plate,Site,Matched_Cycle_h,Matched_Origin_Wait_h,Matched_Dest_Wait_h,Matched_Travel_h,Unmatched_Origin_h,Unmatched_Dest_h,Adjusted_Origin_Wait_h,Adjusted_Dest_Wait_h,Combined_h(AdjustedWait+Travel),Gap_vs_24_h
2026-05-19,71-8001,BigC,6.93,0.27,0.05,6.61,2.87,19.47,3.14,19.52,29.27,-5.27
2026-05-19,71-8002,BigC,27.41,11.36,11.35,4.7,0,0,11.36,11.35,27.41,-3.41
2026-05-19,71-8005,BigC,13.31,7.37,4.29,1.65,0,0,7.37,4.29,13.31,10.69
2026-05-19,71-8009,BigC,19.97,11.82,6.15,1.99,0,0,11.82,6.15,19.97,4.03
2026-05-19,72-1217,LCB,26.52,13.27,8.78,4.47,0,0,13.27,8.78,26.52,-2.52
2026-05-20,71-8001,BigC,8.92,3.05,3.87,2,0,0.03,3.05,3.89,8.94,15.06
2026-05-20,71-8002,BigC,16.04,6.71,4.76,4.57,0,0,6.71,4.76,16.04,7.96
2026-05-20,71-8005,BigC,19.69,6.27,11.78,1.64,0,0,6.27,11.78,19.69,4.31
2026-05-20,71-8009,BigC,23.92,5.86,15.77,2.29,0,0,5.86,15.77,23.92,0.08
2026-05-20,72-1217,LCB,22.61,5.66,15.29,1.66,0,0,5.66,15.29,22.61,1.39
2026-05-21,71-8001,BigC,15.12,5.1,5.37,4.65,0,0,5.1,5.37,15.12,8.88
2026-05-21,71-8002,BigC,12.64,7.8,1.6,3.24,0,0,7.8,1.6,12.64,11.36
2026-05-21,71-8005,BigC,14.6,6,5.66,2.95,0,0,6,5.66,14.6,9.4
2026-05-21,71-8009,BigC,18.89,3.62,13.17,2.1,0,0,3.62,13.17,18.89,5.11
2026-05-21,72-1217,LCB,27.06,19.86,4.79,2.41,0,0,19.86,4.79,27.06,-3.06
2026-05-22,71-8001,BigC,9.39,1.89,2.48,5.01,0,0,1.89,2.48,9.39,14.61
2026-05-22,71-8002,BigC,9.8,4.13,3.19,2.48,0,0.51,4.13,3.69,10.31,13.69
2026-05-22,71-8005,BigC,12.64,3.69,6.64,2.31,9.16,0,12.85,6.64,21.8,2.2
2026-05-22,71-8009,BigC,26.63,8.47,13.89,4.27,0,0,8.47,13.89,26.63,-2.63
2026-05-22,72-1217,LCB,12.77,1.8,9.25,1.73,0,0,1.8,9.25,12.77,11.23
2026-05-23,71-8001,BigC,26.03,8.71,13.29,4.03,0,0,8.71,13.29,26.03,-2.03
2026-05-23,71-8002,BigC,15.77,3.53,10.61,1.64,0,0,3.53,10.61,15.77,8.23
2026-05-23,71-8005,BigC,4.69,0.13,2.81,1.75,7,0,7.13,2.81,11.7,12.3
2026-05-23,71-8009,BigC,14.2,5.16,7.37,1.67,0,0,5.16,7.37,14.2,9.8
2026-05-23,72-1217,LCB,21.53,10.4,8.52,2.61,0,0,10.4,8.52,21.53,2.47
2026-05-24,71-8001,BigC,10.65,5.46,3.53,1.66,0,0,5.46,3.53,10.65,13.35
2026-05-24,71-8002,BigC,19.98,11.59,4.56,3.84,0,1.12,11.59,5.68,21.1,2.9
2026-05-24,71-8005,BigC,7.56,3.95,0.89,2.73,0,0,3.95,0.89,7.56,16.44
2026-05-24,71-8009,BigC,22.16,13.02,5.4,3.74,0,0,13.02,5.4,22.16,1.84
2026-05-24,72-1217,LCB,25.17,11.43,10.48,3.26,0,0,11.43,10.48,25.17,-1.17
2026-05-25,71-8002,BigC,13.45,3.04,7.73,2.68,0,0,3.04,7.73,13.45,10.55
2026-05-25,71-8005,BigC,13.4,1.31,8.49,3.6,0,0,1.31,8.49,13.4,10.6
2026-05-25,71-8009,BigC,21.35,5.45,8.72,7.18,0,0,5.45,8.72,21.35,2.65
2026-05-25,72-1217,LCB,31.63,5.08,13.47,13.07,0,0,5.08,13.47,31.63,-7.63
2026-05-26,71-8002,BigC,23.21,11.32,10.1,1.8,0,0,11.32,10.1,23.21,0.79
2026-05-26,71-8005,BigC,13.43,2.56,9,1.87,0,0,2.56,9,13.43,10.57
2026-05-26,71-8009,BigC,10.37,1.89,6.57,1.91,0,0,1.89,6.57,10.37,13.63
2026-05-27,71-8002,BigC,21.15,8.3,11.19,1.66,0,0,8.3,11.19,21.15,2.85
2026-05-27,71-8003,BigC,17.76,10.02,5.61,2.13,0,0,10.02,5.61,17.76,6.24
2026-05-27,71-8009,BigC,38.11,4.4,32.02,1.69,0,0,4.4,32.02,38.11,-14.11
2026-05-27,72-1217,LCB,32.1,2.97,27.39,1.74,0,0,2.97,27.39,32.1,-8.1
2026-05-28,71-5041,BigC,0,0,0,0,0,3.15,0,3.15,3.15,20.85
2026-05-28,71-8001,BigC,31.74,19.06,10.8,1.89,0,0,19.06,10.8,31.74,-7.74
2026-05-28,71-8002,BigC,19.5,5.69,10.31,3.5,0,0,5.69,10.31,19.5,4.5
2026-05-28,71-8003,BigC,21.49,7.63,9.29,4.57,0,0,7.63,9.29,21.49,2.51
2026-05-28,71-8009,BigC,18.85,3.68,1.56,13.61,0,0,3.68,1.56,18.85,5.15
2026-05-28,72-1217,LCB,16.5,3.28,11.61,1.61,0,0,3.28,11.61,16.5,7.5
2026-05-29,71-5042,BigC,18.35,5.44,8.95,3.96,0,0,5.44,8.95,18.35,5.65
2026-05-29,71-8002,BigC,18.22,7.66,7.12,3.44,0,0,7.66,7.12,18.22,5.78
2026-05-29,71-8003,BigC,21.08,8.5,8.01,4.57,0,0,8.5,8.01,21.08,2.92
