Line,รายการ,บาท,,,
A,ค่าเที่ยวปกติ (GPS matched + เที่ยวเพิ่มจาก config),1129408.00,,,
R,ค่าขนส่งขากลับ (manual_return_trips — ไม่เพิ่มจำนวน matched),32690.00,,,
B,ค่าชดเชยเที่ยวขาด (min 2/คัน/วัน) — ไม่เก็บเงิน (ใช้ชาร์จ 50% วันละ 1 เที่ยวแทน),0.00,,,
C,ชาร์จ 50% วันที่วิ่งได้ 1 เที่ยว (หลัง override),337312.00,,,
D,No-work recovery outbound 50pct (first matched trip that Dest_In day on recovery dates),0.00,,,
TOTAL,Grand (A+C+D+R),1499410.00,,,
