Dest_In_date,Plate,Site,Dest_Row,Trip_rate_baht,Surcharge_baht_50pct,Note
2026-05-02 00:00:00,71-5042,BigC,1.3,7432.03,3716.00,No-work recovery: anchor 2026-05-02 (Dest_In of chosen trip 2026-05-03)
2026-05-02 00:00:00,71-6802,LCB,3.1,7432.03,3716.00,No-work recovery: anchor 2026-05-02 (Dest_In of chosen trip 2026-05-02)
2026-05-02 00:00:00,72-1217,LCB,2.2,7432.03,3716.00,No-work recovery: anchor 2026-05-02 (Dest_In of chosen trip 2026-05-04)
2026-05-02 00:00:00,72-1218,LCB,4.1,7432.03,3716.00,No-work recovery: anchor 2026-05-02 (Dest_In of chosen trip 2026-05-03)
