Activity_Date,Plate,Site,Matched_Cycle_h,Matched_Origin_Wait_h,Matched_Dest_Wait_h,Matched_Travel_h,Unmatched_Origin_h,Unmatched_Dest_h,Adjusted_Origin_Wait_h,Adjusted_Dest_Wait_h,Combined_h(AdjustedWait+Travel),Gap_vs_24_h
2026-05-19,71-5042,BigC,0,0,0,0,0,1.6,0,1.6,1.6,22.4
2026-05-19,71-8001,BigC,6.93,0.27,0.05,6.61,2.87,19.47,3.14,19.52,29.27,-5.27
2026-05-19,71-8002,BigC,11.96,3.21,5.77,2.98,0,0,3.21,5.77,11.96,12.04
2026-05-19,71-8005,BigC,33,13.64,16.08,3.28,0,0,13.64,16.08,33,-9
2026-05-19,71-8009,BigC,23.92,5.86,15.77,2.29,0,0,5.86,15.77,23.92,0.08
2026-05-19,72-1217,LCB,29.58,7.75,18.38,3.45,0,0,7.75,18.38,29.58,-5.58
2026-05-20,71-8001,BigC,8.92,3.05,3.87,2,0,0.03,3.05,3.89,8.94,15.06
2026-05-20,71-8002,BigC,28.68,14.51,6.36,7.82,0,0,14.51,6.36,28.68,-4.68
2026-05-20,71-8005,BigC,7.27,1.33,4.07,1.86,0,0,1.33,4.07,7.27,16.73
2026-05-20,71-8009,BigC,18.89,3.62,13.17,2.1,0,0,3.62,13.17,18.89,5.11
2026-05-20,72-1217,LCB,27.06,19.86,4.79,2.41,0,0,19.86,4.79,27.06,-3.06
2026-05-21,71-8001,BigC,15.12,5.1,5.37,4.65,0,0,5.1,5.37,15.12,8.88
2026-05-21,71-8005,BigC,14.6,6,5.66,2.95,0,0,6,5.66,14.6,9.4
2026-05-21,71-8009,BigC,15.82,4.35,9.57,1.9,0,0,4.35,9.57,15.82,8.18
2026-05-22,71-8001,BigC,23.43,8.53,8.12,6.79,0,0,8.53,8.12,23.43,0.57
2026-05-22,71-8002,BigC,9.8,4.13,3.19,2.48,0,0.51,4.13,3.69,10.31,13.69
2026-05-22,71-8005,BigC,12.64,3.69,6.64,2.31,9.16,0,12.85,6.64,21.8,2.2
2026-05-22,71-8009,BigC,10.8,4.12,4.32,2.37,0,0,4.12,4.32,10.8,13.2
2026-05-22,72-1217,LCB,34.31,12.2,17.77,4.34,0,0,12.2,17.77,34.31,-10.31
2026-05-23,71-8001,BigC,11.99,2.08,7.66,2.25,0,0,2.08,7.66,11.99,12.01
2026-05-23,71-8002,BigC,15.77,3.53,10.61,1.64,0,0,3.53,10.61,15.77,8.23
2026-05-23,71-8005,BigC,4.69,0.13,2.81,1.75,7,0,7.13,2.81,11.7,12.3
2026-05-23,71-8009,BigC,29.58,13.77,12.18,3.63,0,0,13.77,12.18,29.58,-5.58
2026-05-23,72-1217,LCB,17.57,6.6,9.34,1.63,0,0,6.6,9.34,17.57,6.43
2026-05-24,71-8001,BigC,10.65,5.46,3.53,1.66,0,0,5.46,3.53,10.65,13.35
2026-05-24,71-8002,BigC,19.98,11.59,4.56,3.84,0,1.12,11.59,5.68,21.1,2.9
2026-05-24,71-8005,BigC,7.56,3.95,0.89,2.73,0,0,3.95,0.89,7.56,16.44
2026-05-24,71-8009,BigC,28.13,9.86,9.32,8.96,0,0,9.86,9.32,28.13,-4.13
2026-05-24,72-1217,LCB,30.38,8.57,8.74,13.07,0,0,8.57,8.74,30.38,-6.38
2026-05-25,71-8002,BigC,30.88,14.36,12.05,4.47,0,0,14.36,12.05,30.88,-6.88
2026-05-25,71-8005,BigC,13.4,1.31,8.49,3.6,0,0,1.31,8.49,13.4,10.6
2026-05-25,71-8009,BigC,10.37,1.89,6.57,1.91,0,0,1.89,6.57,10.37,13.63
2026-05-25,72-1217,LCB,8.84,1.34,5.87,1.63,0,0,1.34,5.87,8.84,15.16
2026-05-26,71-8005,BigC,4.9,2.56,0.47,1.87,0,0,2.56,0.47,4.9,19.1
2026-05-26,71-8009,BigC,0,0,0,0,2.52,0,2.52,0,2.52,21.48
2026-05-26,72-1217,LCB,4.74,2.97,0.03,1.74,0,0,2.97,0.03,4.74,19.26
