Dest_In_date,Plate,Amount_baht,Note,,
2026-07-01 00:00:00,71-8003,6976.00,เที่ยวคาบเดือน ขึ้นของ 30/6 (Jun tab TO-OTL15571) ส่ง P&G 1/7 01:21 — GPS ก.ค. ไม่มีขาต้นทาง (UM-D); มิ.ย. เก็บเฉพาะ no_finish 30/6 ตาม runbook — ตัวเที่ยวเก็บรอบนี้ @เรท 1/7 (น้ำมัน 37.50),,
2026-07-04 00:00:00,71-8004,8720.00,"เดลี่ AYU 4/7 TO-OTL15906 (อุดมชัย) — GPS มีขาต้นทาง 2/7 11:23→4/7 10:45 (47ชม.) แต่ขา P&G หาย; เที่ยวจริงตามใบงาน = เรท 4/7 6,976 + ส่วนเพิ่มวันวิ่ง 1 เที่ยว 25% 1,744 (วันนั้น 8004 วิ่งเที่ยวเดียว)",,
2026-07-11 00:00:00,71-5041,8360.00,"เดลี่ AYU 11/7 TO-OTL16400 — GPS มีขาต้นทาง 10/7 22:34→11/7 04:40 แต่ขา P&G หาย; เที่ยวที่ 5 ของ 5041 ตามใบงาน = เรท 11/7 6,688 + ส่วนเพิ่มวันวิ่ง 1 เที่ยว 25% 1,672 (คู่ exclude_50 กัน no_finish 100% ลั่น)",,
